           Date        GOOGL
353  2011-05-27   260.710724
354  2011-05-31   264.774780
355  2011-06-01   263.063049
356  2011-06-02   264.294281
357  2011-06-03   261.801788
358  2011-06-06   260.790802
359  2011-06-07   259.774780
360  2011-06-08   259.844849
361  2011-06-09   258.623627
362  2011-06-10   255.010010
363  2011-06-13   252.617615
364  2011-06-14   254.439438
365  2011-06-15   251.726730
366  2011-06-16   250.435440
367  2011-06-17   242.752747
368  2011-06-20   242.532532
369  2011-06-21   246.746750
370  2011-06-22   243.748749
371  2011-06-23   240.350357
372  2011-06-24   237.677673
373  2011-06-27   241.641647
374  2011-06-28   247.072067
375  2011-06-29   249.034027
376  2011-06-30   253.443436
377  2011-07-01   260.775787
378  2011-07-05   266.486481
379  2011-07-06   267.947937
380  2011-07-07   273.573578
381  2011-07-08   266.261261
382  2011-07-11   263.903900
383  2011-07-12   267.272278
384  2011-07-13   269.399414
385  2011-07-14   264.734741
386  2011-07-15   299.109100
387  2011-07-18   297.767761
388  2011-07-19   301.576569
389  2011-07-20   297.972961
390  2011-07-21   303.798798
391  2011-07-22   309.424438
392  2011-07-25   309.799805
393  2011-07-26   311.571564
394  2011-07-27   303.913910
395  2011-07-28   305.775787
396  2011-07-29   302.147156
397  2011-08-01   303.688690
398  2011-08-02   296.496490
399  2011-08-03   300.885895
400  2011-08-04   289.049042
401  2011-08-05   289.809814
402  2011-08-08   273.283295
403  2011-08-09   286.992004
404  2011-08-10   274.779785
405  2011-08-11   281.346344
406  2011-08-12   282.167175
407  2011-08-15   278.893890
408  2011-08-16   269.769775
409  2011-08-17   266.841827
410  2011-08-18   252.692688
411  2011-08-19   245.705704
412  2011-08-22   249.334335
413  2011-08-23   259.669678
414  2011-08-24   261.906921
415  2011-08-25   260.280273
416  2011-08-26   263.693695
417  2011-08-29   269.809814
418  2011-08-30   270.620636
419  2011-08-31   270.750763
420  2011-09-01   266.516510
421  2011-09-02   262.682678
422  2011-09-06   261.351349
423  2011-09-07   267.282288
424  2011-09-08   267.747742
425  2011-09-09   262.687683
426  2011-09-12   265.325317
427  2011-09-13   265.025024
428  2011-09-14   266.301300
429  2011-09-15   271.551544
430  2011-09-16   273.613617
431  2011-09-19   273.608612
432  2011-09-20   273.588593
433  2011-09-21   269.869873
434  2011-09-22   260.590576
435  2011-09-23   263.018005
436  2011-09-26   266.211212
437  2011-09-27   269.939941
438  2011-09-28   264.684692
439  2011-09-29   264.014008
440  2011-09-30   257.777771
441  2011-10-03   248.008011
442  2011-10-04   251.201202
443  2011-10-05   252.602600
444  2011-10-06   257.612610
445  2011-10-07   257.817810
446  2011-10-10   268.853851
447  2011-10-11   271.861847
448  2011-10-12   274.524536
449  2011-10-13   279.774780
450  2011-10-14   296.136139
451  2011-10-17   291.496490
452  2011-10-18   295.550537
453  2011-10-19   290.640656
454  2011-10-20   292.127136
455  2011-10-21   295.540527
456  2011-10-24   298.508514
457  2011-10-25   291.871887
458  2011-10-26   293.448456
459  2011-10-27   299.634644
460  2011-10-28   300.370361
461  2011-10-31   296.616608
462  2011-11-01   289.614624
463  2011-11-02   292.702698
464  2011-11-03   299.049042
465  2011-11-04   298.368378
466  2011-11-07   304.469482
467  2011-11-08   306.476471
468  2011-11-09   300.775787
469  2011-11-10   297.837830
470  2011-11-11   304.479492
471  2011-11-14   306.806793
472  2011-11-15   308.588593
473  2011-11-16   306.041046
474  2011-11-17   300.735748
475  2011-11-18   297.737732
476  2011-11-21   290.760773
477  2011-11-22   290.290283
478  2011-11-23   285.340332
479  2011-11-25   281.781769
480  2011-11-28   294.389374
481  2011-11-29   291.756744
482  2011-11-30   299.994995
483  2011-12-01   307.192200
484  2011-12-02   310.490479
485  2011-12-05   313.138153
486  2011-12-06   312.197205
487  2011-12-07   312.007019
488  2011-12-08   308.333344
489  2011-12-09   314.024017
490  2011-12-12   313.007996
491  2011-12-13   313.128113
492  2011-12-14   309.344330
493  2011-12-15   310.080078
494  2011-12-16   313.293304
495  2011-12-19   311.226227
496  2011-12-20   315.500488
497  2011-12-21   313.223236
498  2011-12-22   315.165161
499  2011-12-23   316.886902
500  2011-12-27   320.445435
501  2011-12-28   320.170166
502  2011-12-29   321.521515
503  2011-12-30   323.273285
504  2012-01-03   333.038025
505  2012-01-04   334.474487
506  2012-01-05   329.834839
507  2012-01-06   325.335327
508  2012-01-09   311.541534
509  2012-01-10   311.881897
510  2012-01-11   313.293304
511  2012-01-12   315.135132
512  2012-01-13   312.807800
513  2012-01-17   314.604614
514  2012-01-18   316.771759
515  2012-01-19   320.105103
516  2012-01-20   293.288300
517  2012-01-23   293.053040
518  2012-01-24   290.755768
519  2012-01-25   285.030029
520  2012-01-26   284.334320
521  2012-01-27   290.280273
522  2012-01-30   289.134125
523  2012-01-31   290.345337
524  2012-02-01   290.705719
525  2012-02-02   292.847839
526  2012-02-03   298.463470
527  2012-02-06   304.849854
528  2012-02-07   303.688690
529  2012-02-08   305.230225
530  2012-02-09   306.036041
531  2012-02-10   303.258270
532  2012-02-13   306.406403
533  2012-02-14   305.185181
534  2012-02-15   303.083069
535  2012-02-16   303.563568
536  2012-02-17   302.622620
537  2012-02-21   307.307312
538  2012-02-22   304.274261
539  2012-02-23   303.358368
540  2012-02-24   305.255249
541  2012-02-27   304.959961
542  2012-02-28   309.504517
543  2012-02-29   309.434448
544  2012-03-01   311.511505
545  2012-03-02   310.935944
546  2012-03-05   307.432434
547  2012-03-06   302.782776
548  2012-03-07   303.703705
549  2012-03-08   303.873871
550  2012-03-09   300.425415
551  2012-03-12   302.877869
552  2012-03-13   309.199188
553  2012-03-14   308.303314
554  2012-03-15   310.875885
555  2012-03-16   312.832825
556  2012-03-19   317.307312
557  2012-03-20   317.062073
558  2012-03-21   320.310303
559  2012-03-22   323.348358
560  2012-03-23   321.616608
561  2012-03-26   324.989990
562  2012-03-27   323.833832
563  2012-03-28   328.208221
564  2012-03-29   324.529541
565  2012-03-30   320.940948
566  2012-04-02   323.783783
567  2012-04-03   321.631622
568  2012-04-04   317.892883
569  2012-04-05   316.476471
570  2012-04-09   315.735748
571  2012-04-10   313.743744
572  2012-04-11   318.298309
573  2012-04-12   325.830841
574  2012-04-13   312.612610
575  2012-04-16   303.338348
576  2012-04-17   305.090088
577  2012-04-18   304.029022
578  2012-04-19   299.949951
579  2012-04-20   298.328339
580  2012-04-23   299.099091
581  2012-04-24   300.935944
582  2012-04-25   305.165161
583  2012-04-26   308.043030
584  2012-04-27   307.797791
585  2012-04-30   302.727722
586  2012-05-01   302.517517
587  2012-05-02   303.933929
588  2012-05-03   305.815826
589  2012-05-04   298.783783
590  2012-05-07   304.079071
591  2012-05-08   306.701691
592  2012-05-09   304.879883
593  2012-05-10   307.137146
594  2012-05-11   302.917908
595  2012-05-14   302.302307
596  2012-05-15   305.860870
597  2012-05-16   314.779785
598  2012-05-17   311.836823
599  2012-05-18   300.500488
600  2012-05-21   307.362366
601  2012-05-22   300.700714
602  2012-05-23   305.035034
603  2012-05-24   302.132141
604  2012-05-25   296.061066
605  2012-05-29   297.467468
606  2012-05-30   294.409424
607  2012-05-31   290.720734
608  2012-06-01   285.775787
609  2012-06-04   289.584595
610  2012-06-05   285.490479
611  2012-06-06   290.575562
612  2012-06-07   289.404419
613  2012-06-08   290.515503
614  2012-06-11   284.534546
615  2012-06-12   282.832825
616  2012-06-13   280.825836
617  2012-06-14   279.804810
618  2012-06-15   282.537537
619  2012-06-18   285.710724
620  2012-06-19   291.056061
621  2012-06-20   289.044037
622  2012-06-21   282.887878
623  2012-06-22   286.026031
624  2012-06-25   280.630646
625  2012-06-26   282.622620
626  2012-06-27   284.934937
627  2012-06-28   282.437439
628  2012-06-29   290.325317
629  2012-07-02   290.525513
630  2012-07-03   294.209198
631  2012-07-05   298.258270
632  2012-07-06   293.283295
633  2012-07-09   293.298309
634  2012-07-10   291.141144
635  2012-07-11   285.880890
636  2012-07-12   285.525513
637  2012-07-13   288.548553
638  2012-07-16   287.747742
639  2012-07-17   288.653656
640  2012-07-18   290.670685
641  2012-07-19   296.826813
642  2012-07-20   305.715729
643  2012-07-23   308.063049
644  2012-07-24   304.089081
645  2012-07-25   304.299286
646  2012-07-26   306.987000
647  2012-07-27   317.797791
648  2012-07-30   316.466461
649  2012-07-31   316.801788
650  2012-08-01   316.656647
651  2012-08-02   314.689697
652  2012-08-03   320.985992
653  2012-08-06   321.731720
654  2012-08-07   320.590576
655  2012-08-08   321.436432
656  2012-08-09   321.496490
657  2012-08-10   321.321320
658  2012-08-13   330.335327
659  2012-08-14   334.664673
660  2012-08-15   334.104095
661  2012-08-16   336.771759
662  2012-08-17   338.908905
663  2012-08-20   338.108093
664  2012-08-21   335.090088
665  2012-08-22   338.928925
666  2012-08-23   338.738739
667  2012-08-24   339.654663
668  2012-08-27   334.944946
669  2012-08-28   338.963959
670  2012-08-29   344.349335
671  2012-08-30   341.181183
672  2012-08-31   342.887878
673  2012-09-04   340.860870
674  2012-09-05   340.700714
675  2012-09-06   350.050049
676  2012-09-07   353.428436
677  2012-09-10   350.735748
678  2012-09-11   346.441437
679  2012-09-12   345.785797
680  2012-09-13   353.373383
681  2012-09-14   355.195190
682  2012-09-17   355.345337
683  2012-09-18   359.499512
684  2012-09-19   364.114105
685  2012-09-20   364.424438
686  2012-09-21   367.362366
687  2012-09-24   375.065063
688  2012-09-25   374.954956
689  2012-09-26   377.107117
690  2012-09-27   378.628632
691  2012-09-28   377.627625
692  2012-10-01   381.271271
693  2012-10-02   378.873871
694  2012-10-03   381.631622
695  2012-10-04   384.409424
696  2012-10-05   384.209198
697  2012-10-08   379.299286
698  2012-10-09   372.417419
699  2012-10-10   372.652649
700  2012-10-11   376.116119
701  2012-10-12   372.747742
702  2012-10-15   370.860870
703  2012-10-16   372.722717
704  2012-10-17   378.123108
