           Date        MSFT
363  2011-06-13   19.308002
364  2011-06-14   19.452574
365  2011-06-15   19.067055
366  2011-06-16   19.275883
367  2011-06-17   19.484699
368  2011-06-20   19.653362
369  2011-06-21   19.886284
370  2011-06-22   19.797930
371  2011-06-23   19.781864
372  2011-06-24   19.516827
373  2011-06-27   20.239677
374  2011-06-28   20.721573
375  2011-06-29   20.577000
376  2011-06-30   20.882204
377  2011-07-01   20.898260
378  2011-07-05   20.906292
379  2011-07-06   21.147242
380  2011-07-07   21.500637
381  2011-07-08   21.621103
382  2011-07-11   21.388189
383  2011-07-12   21.315914
384  2011-07-13   21.388189
385  2011-07-14   21.259684
386  2011-07-15   21.508665
387  2011-07-18   21.356066
388  2011-07-19   22.119066
389  2011-07-20   21.733557
390  2011-07-21   21.765680
391  2011-07-22   22.111036
392  2011-07-25   22.416235
393  2011-07-26   22.552784
394  2011-07-27   21.950405
395  2011-07-28   22.263643
396  2011-07-29   22.006630
397  2011-08-01   21.902212
398  2011-08-02   21.524729
399  2011-08-03   21.621103
400  2011-08-04   20.834007
401  2011-08-05   20.625187
402  2011-08-08   19.661392
403  2011-08-09   20.544872
404  2011-08-10   19.436504
405  2011-08-11   20.231646
406  2011-08-12   20.159353
407  2011-08-15   20.488653
408  2011-08-16   20.488655
409  2011-08-17   20.407825
410  2011-08-18   19.939051
411  2011-08-19   19.437952
412  2011-08-22   19.381376
413  2011-08-23   19.979464
414  2011-08-24   20.124952
415  2011-08-25   19.858231
416  2011-08-26   20.407825
417  2011-08-29   20.884687
418  2011-08-30   21.199894
419  2011-08-31   21.498945
420  2011-09-01   21.183733
421  2011-09-02   20.852362
422  2011-09-06   20.617968
423  2011-09-07   21.014004
424  2011-09-08   21.191816
425  2011-09-09   20.803862
426  2011-09-12   20.925097
427  2011-09-13   21.046333
428  2011-09-14   21.418121
429  2011-09-15   21.814148
430  2011-09-16   21.919226
431  2011-09-19   21.991961
432  2011-09-20   21.806067
433  2011-09-21   21.005920
434  2011-09-22   20.254259
435  2011-09-23   20.254259
436  2011-09-26   20.561392
437  2011-09-27   20.747288
438  2011-09-28   20.674547
439  2011-09-29   20.569477
440  2011-09-30   20.116869
441  2011-10-03   19.825901
442  2011-10-04   20.480568
443  2011-10-05   20.925097
444  2011-10-06   21.288801
445  2011-10-07   21.216055
446  2011-10-10   21.773739
447  2011-10-11   21.822233
448  2011-10-12   21.789904
449  2011-10-13   21.967714
450  2011-10-14   22.040451
