           Date         AMZN
371  2011-06-23   194.160004
372  2011-06-24   192.550003
373  2011-06-27   201.250000
374  2011-06-28   202.350006
375  2011-06-29   204.179993
376  2011-06-30   204.490005
377  2011-07-01   209.490005
378  2011-07-05   213.190002
379  2011-07-06   214.190002
380  2011-07-07   216.740005
381  2011-07-08   218.279999
382  2011-07-11   212.550003
383  2011-07-12   211.229996
384  2011-07-13   213.500000
385  2011-07-14   210.380005
386  2011-07-15   212.869995
387  2011-07-18   211.529999
388  2011-07-19   218.059998
389  2011-07-20   215.550003
390  2011-07-21   213.210007
391  2011-07-22   216.520004
392  2011-07-25   213.490005
393  2011-07-26   214.179993
394  2011-07-27   222.520004
395  2011-07-28   223.899994
396  2011-07-29   222.520004
397  2011-08-01   221.320007
398  2011-08-02   211.699997
399  2011-08-03   209.960007
400  2011-08-04   201.479996
401  2011-08-05   202.699997
402  2011-08-08   193.699997
403  2011-08-09   205.089996
404  2011-08-10   194.130005
405  2011-08-11   198.360001
406  2011-08-12   202.300003
407  2011-08-15   202.949997
408  2011-08-16   197.679993
409  2011-08-17   195.929993
410  2011-08-18   182.520004
411  2011-08-19   178.929993
412  2011-08-22   177.539993
413  2011-08-23   193.550003
414  2011-08-24   193.729996
415  2011-08-25   192.029999
416  2011-08-26   199.270004
417  2011-08-29   206.529999
418  2011-08-30   210.919998
419  2011-08-31   215.229996
420  2011-09-01   212.539993
421  2011-09-02   210.000000
422  2011-09-06   216.179993
423  2011-09-07   219.899994
424  2011-09-08   217.259995
425  2011-09-09   211.389999
426  2011-09-12   216.559998
427  2011-09-13   219.529999
428  2011-09-14   222.570007
429  2011-09-15   226.779999
430  2011-09-16   239.300003
431  2011-09-19   241.690002
432  2011-09-20   233.250000
433  2011-09-21   231.869995
434  2011-09-22   223.229996
435  2011-09-23   223.610001
436  2011-09-26   229.850006
437  2011-09-27   224.210007
438  2011-09-28   229.710007
439  2011-09-29   222.440002
440  2011-09-30   216.229996
441  2011-10-03   211.979996
442  2011-10-04   212.500000
443  2011-10-05   219.500000
444  2011-10-06   221.509995
445  2011-10-07   224.740005
446  2011-10-10   231.320007
447  2011-10-11   235.479996
448  2011-10-12   236.809998
449  2011-10-13   236.149994
450  2011-10-14   246.710007
451  2011-10-17   242.330002
452  2011-10-18   243.880005
453  2011-10-19   231.529999
454  2011-10-20   233.610001
455  2011-10-21   234.779999
456  2011-10-24   237.610001
457  2011-10-25   227.149994
458  2011-10-26   198.399994
459  2011-10-27   206.779999
460  2011-10-28   217.320007
461  2011-10-31   213.509995
462  2011-11-01   212.100006
463  2011-11-02   215.619995
464  2011-11-03   218.289993
465  2011-11-04   216.479996
466  2011-11-07   217.000000
467  2011-11-08   217.990005
468  2011-11-09   211.220001
469  2011-11-10   210.789993
470  2011-11-11   217.389999
471  2011-11-14   218.929993
472  2011-11-15   217.830002
473  2011-11-16   211.990005
474  2011-11-17   204.520004
475  2011-11-18   197.139999
476  2011-11-21   189.250000
477  2011-11-22   192.339996
478  2011-11-23   188.990005
479  2011-11-25   182.399994
480  2011-11-28   194.149994
481  2011-11-29   188.389999
482  2011-11-30   192.289993
483  2011-12-01   197.130005
484  2011-12-02   196.029999
485  2011-12-05   196.240005
486  2011-12-06   191.990005
487  2011-12-07   195.320007
488  2011-12-08   190.479996
489  2011-12-09   193.029999
490  2011-12-12   189.520004
491  2011-12-13   180.509995
492  2011-12-14   180.210007
493  2011-12-15   181.259995
494  2011-12-16   181.259995
495  2011-12-19   179.330002
496  2011-12-20   182.520004
497  2011-12-21   174.350006
498  2011-12-22   179.029999
499  2011-12-23   177.279999
500  2011-12-27   176.270004
501  2011-12-28   173.889999
502  2011-12-29   173.860001
503  2011-12-30   173.100006
504  2012-01-03   179.029999
505  2012-01-04   177.509995
506  2012-01-05   177.610001
507  2012-01-06   182.610001
508  2012-01-09   178.559998
509  2012-01-10   179.339996
510  2012-01-11   178.899994
511  2012-01-12   175.929993
512  2012-01-13   178.419998
513  2012-01-17   181.660004
514  2012-01-18   189.440002
515  2012-01-19   194.449997
516  2012-01-20   190.929993
517  2012-01-23   186.089996
518  2012-01-24   187.000000
519  2012-01-25   187.800003
520  2012-01-26   193.320007
521  2012-01-27   195.369995
522  2012-01-30   192.149994
523  2012-01-31   194.440002
524  2012-02-01   179.460007
525  2012-02-02   181.720001
526  2012-02-03   187.679993
527  2012-02-06   183.139999
528  2012-02-07   184.190002
529  2012-02-08   185.479996
530  2012-02-09   184.979996
531  2012-02-10   185.539993
532  2012-02-13   191.589996
533  2012-02-14   191.300003
534  2012-02-15   184.470001
535  2012-02-16   179.929993
536  2012-02-17   182.500000
537  2012-02-21   182.259995
538  2012-02-22   180.580002
539  2012-02-23   178.889999
540  2012-02-24   179.130005
541  2012-02-27   178.529999
542  2012-02-28   183.800003
543  2012-02-29   179.690002
544  2012-03-01   180.039993
545  2012-03-02   179.300003
546  2012-03-05   180.259995
547  2012-03-06   181.089996
548  2012-03-07   183.770004
549  2012-03-08   187.639999
550  2012-03-09   184.320007
551  2012-03-12   183.389999
552  2012-03-13   184.589996
553  2012-03-14   182.259995
554  2012-03-15   184.429993
555  2012-03-16   185.050003
556  2012-03-19   185.520004
557  2012-03-20   192.330002
558  2012-03-21   191.729996
559  2012-03-22   192.399994
560  2012-03-23   195.039993
561  2012-03-26   202.869995
562  2012-03-27   205.440002
563  2012-03-28   201.160004
564  2012-03-29   204.610001
565  2012-03-30   202.509995
566  2012-04-02   198.050003
567  2012-04-03   199.660004
568  2012-04-04   193.990005
569  2012-04-05   194.389999
570  2012-04-09   191.869995
571  2012-04-10   186.979996
572  2012-04-11   187.970001
573  2012-04-12   190.690002
